Date,Year,Category,Payee,Description,Location,Zip Code,Type,Trx Numbers,Amount,,
4/3/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 7,94025,Cash out,,1603,,
4/12/2023,2023,Revenue,Online Orders,Website Sales,Blue Pot 5,94401,Cash in,,1716,,
10/5/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 3,94003,Cash in,,6006,,
10/7/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 2,94020,Cash out,,5373.9,,
1/4/2023,2023,Cost,Local Bakery,Purchase of Pastries,Blue Pot 5,94401,Cash out,,378,,
7/26/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 2,94020,Cash out,,163.8,,
4/27/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 2,94020,Cash in,,14199.9,,
12/7/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 5,94401,Cash out,,504,,
12/19/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 6,94002,Cash out,,3868.2,,
10/23/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 7,94025,Cash out,,3099.6,,
5/1/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 10,94070,Cash out,,5203.8,,
4/13/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 7,94025,Cash in,,7307.3,,
6/6/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 2,94020,Cash in,,2302.3,,
5/29/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 2,94020,Cash out,,4548.6,,
1/14/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 3,94003,Cash in,,10439,,
6/19/2023,2023,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 4,94404,Cash out,,5159.7,,
2/5/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 5,94401,Cash in,,443.3,,
1/15/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 4,94404,Cash out,,343,,
5/28/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 6,94002,Cash out,,1896.3,,
3/26/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 9,22180,Cash out,,3641.4,,
5/6/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 2,94020,Cash in,,4147,,
4/15/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 4,94404,Cash out,,4964.4,,
3/30/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 7,94025,Cash in,,12040.6,,
9/23/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 5,94401,Cash in,,2759.9,,
5/13/2023,2023,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 7,94025,Cash out,,1266.3,,
12/21/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 2,94020,Cash in,,12097.8,,
2/10/2023,2023,Revenue,Online Orders,Website Sales,Blue Pot 7,94025,Cash in,,11611.6,,
4/8/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 5,94401,Cash out,,6249.6,,
6/18/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 5,94401,Cash out,,5726.7,,
1/18/2023,2023,Cost,Local Bakery,Purchase of Pastries,Blue Pot 5,94401,Cash out,,4321.8,,
1/3/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 4,94404,Cash out,,6825,,
3/24/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 3,94003,Cash in,,4890.6,,
1/27/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 3,94003,Cash out,,6279,,
6/7/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 1,94070,Cash out,,3430,,
4/16/2023,2023,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,3055.5,,
5/15/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 5,94401,Cash out,,3672.9,,
4/20/2023,2023,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 10,94070,Cash out,,5115.6,,
1/2/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 3,94003,Cash in,,8537.1,,
8/1/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 6,94002,Cash out,,5845,,
9/14/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,119.7,,
2/28/2023,2023,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 9,22180,Cash out,,3931.2,,
12/7/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 3,94003,Cash out,,5940.9,,
11/12/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 3,94003,Cash in,,12641.2,,
6/14/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 1,94070,Cash out,,6510,,
1/21/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 1,94070,Cash in,,371.8,,
4/19/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 1,94070,Cash in,,3803.8,,
10/27/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 5,94401,Cash in,,5948.8,,
5/1/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,5891.6,,
9/3/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 2,94020,Cash out,,2170,,
6/2/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 2,94020,Cash out,,5638.5,,
9/29/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,2318.4,,
5/10/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 7,94025,Cash in,,11711.7,,
6/26/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 9,22180,Cash out,,6287.4,,
12/11/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 5,94401,Cash in,,5133.7,,
5/1/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 1,94070,Cash out,,4970.7,,
1/5/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 2,94020,Cash out,,3836.7,,
6/3/2023,2023,Revenue,Online Orders,Website Sales,Blue Pot 2,94020,Cash in,,10153,,
1/23/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 1,94070,Cash out,,2053.8,,
3/29/2023,2023,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 2,94020,Cash out,,1430.1,,
5/11/2023,2023,Revenue,Online Orders,Website Sales,Blue Pot 9,22180,Cash in,,586.3,,
8/24/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 6,94002,Cash out,,623.7,,
5/3/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 1,94070,Cash out,,4296.6,,
10/13/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 2,94020,Cash out,,982.8,,
11/13/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 2,94020,Cash out,,5216.4,,
9/5/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 7,94025,Cash out,,4006.8,,
11/4/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,1581.3,,
6/15/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,2778.3,,
9/1/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 2,94020,Cash in,,10439,,
8/26/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 1,94070,Cash in,,543.4,,
4/17/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 4,94404,Cash out,,6186.6,,
3/14/2023,2023,Revenue,In-Store Sales,Iced Coffee,Blue Pot 10,94070,Cash in,,8494.2,,
6/13/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 4,94404,Cash in,,2302.3,,
5/20/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,611.1,,
6/20/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 5,94401,Cash out,,2406.6,,
6/20/2023,2023,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,2847.6,,
4/21/2023,2023,Revenue,In-Store Sales,Iced Coffee,Blue Pot 10,94070,Cash in,,2888.6,,
7/4/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 9,22180,Cash out,,5298.3,,
4/25/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 10,94070,Cash in,,1258.4,,
12/23/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 1,94070,Cash out,,2807,,
12/7/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 6,94002,Cash in,,11797.5,,
11/2/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 5,94401,Cash in,,13256.1,,
4/3/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 6,94002,Cash out,,469,,
11/13/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,6063.2,,
2/3/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 1,94070,Cash in,,2059.2,,
2/2/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 10,94070,Cash in,,13241.8,,
10/2/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,3288.6,,
5/6/2023,2023,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,2690.1,,
3/5/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,13356.2,,
7/2/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 7,94025,Cash in,,12584,,
5/31/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 1,94070,Cash in,,5662.8,,
3/17/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 4,94404,Cash out,,2233,,
3/12/2023,2023,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,2359.5,,
8/20/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 2,94020,Cash in,,3532.1,,
3/16/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 10,94070,Cash out,,4945.5,,
7/6/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,352.8,,
3/14/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 7,94025,Cash out,,3031,,
2/4/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 6,94002,Cash out,,5362,,
4/17/2023,2023,Revenue,Online Orders,Website Sales,Blue Pot 9,22180,Cash in,,7865,,
10/21/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 5,94401,Cash out,,5947.2,,
1/28/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 1,94070,Cash in,,11397.1,,
9/8/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 9,22180,Cash in,,14128.4,,
2/6/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 4,94404,Cash out,,5002.2,,
6/25/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 1,94070,Cash in,,2116.4,,
4/30/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 1,94070,Cash out,,4624.2,,
5/30/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 1,94070,Cash out,,5586,,
8/29/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,9495.2,,
2/26/2023,2023,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,378,,
4/18/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 10,94070,Cash out,,1348.2,,
12/12/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 9,22180,Cash out,,3811.5,,
1/2/2023,2023,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 9,22180,Cash out,,6129.9,,
10/2/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 9,22180,Cash out,,5506.2,,
9/26/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 7,94025,Cash in,,6006,,
5/19/2023,2023,Revenue,Online Orders,Website Sales,Blue Pot 5,94401,Cash in,,5505.5,,
3/1/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 6,94002,Cash out,,119.7,,
6/11/2022,2022,Expense,Utility Company,Electricity Bill,Blue Pot 3,94003,Cash out,,2310,,
5/31/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 8,94020,Cash out,,6205.5,124110,
5/20/2023,2023,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,8036.6,,
4/12/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 1,94070,Cash in,,13456.3,,
4/27/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 9,22180,Cash in,,5963.1,,
1/5/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 4,94404,Cash out,,1291.5,,
1/17/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 4,94404,Cash in,,6692.4,,
3/9/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 4,94404,Cash out,,5462.1,,
11/27/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 4,94404,Cash in,,7750.6,,
1/29/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 7,94025,Cash in,,1329.9,,
4/28/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,5569.2,,
4/4/2023,2023,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,371.7,,
11/14/2022,2022,Revenue,In-Store Sales,Iced Coffee,Blue Pot 9,22180,Cash in,,3703.7,,
9/20/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 1,94070,Cash out,,3370.5,,
1/17/2023,2023,Cost,Local Bakery,Purchase of Pastries,Blue Pot 8,94020,Cash out,,4076.1,,
6/28/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 1,94070,Cash in,,10238.8,,
6/22/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 1,94070,Cash out,,392,,
12/24/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 4,94404,Cash in,,13770.9,,
10/22/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 7,94025,Cash out,,4145.4,,
4/26/2022,2022,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 3,94003,Cash out,,4920.3,,
1/14/2023,2023,Revenue,In-Store Sales,Iced Coffee,Blue Pot 10,94070,Cash in,,13842.4,,
2/1/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,1146.6,,
4/17/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 3,94003,Cash out,,1568.7,,
3/28/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,2772,,
4/5/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 5,94401,Cash in,,11883.3,,
2/21/2023,2023,Revenue,Online Orders,Website Sales,Blue Pot 1,94070,Cash in,,9380.8,,
4/7/2022,2022,Cost,Coffee Supplier,Coffee Beans Purchase,Blue Pot 1,94070,Cash out,,5002.2,,
1/22/2023,2023,Revenue,In-Store Sales,Iced Coffee,Blue Pot 1,94070,Cash in,,2802.8,,
4/18/2023,2023,Cost,Equipment Supplier,Espresso Machine Purchase,Blue Pot 1,94070,Cash out,,4353.3,,
4/13/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,4088.7,,
2/16/2023,2023,Revenue,In-Store Sales,Hot Coffee,Blue Pot 7,94025,Cash in,,1015.3,,
5/3/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 9,22180,Cash in,,2702.7,,
6/10/2023,2023,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,623.7,,
2/26/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 7,94025,Cash out,,2667,,
4/30/2023,2023,Expense,Utility Company,Electricity Bill,Blue Pot 7,94025,Cash out,,4970,,
4/24/2023,2023,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,4397.4,,
2/3/2022,2022,Revenue,In-Store Sales,Hot Coffee,Blue Pot 4,94404,Cash in,,6392.1,,
5/29/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 7,94025,Cash out,,5153.4,,
2/27/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,3950.1,,
4/20/2022,2022,Cost,Local Bakery,Purchase of Pastries,Blue Pot 1,94070,Cash out,,5688.9,,
5/25/2022,2022,Revenue,Online Orders,Website Sales,Blue Pot 6,94002,Cash in,,1001,,
11/23/2022,2022,Cost,Local Dairy,Milk and Cream Purchase,Blue Pot 1,94070,Cash out,,6174,,
